id,word,countsize,length,texts_aggregated,wcavg
733,rippling,1,8,100,0.01
734,instead,106,7,100,1.06
735,godless,3,7,100,0.03
736,group,240,5,100,2.4
737,bombing,2,7,100,0.02
738,average,38,7,100,0.38
739,lie,69,3,100,0.69
740,alcoholism,19,10,100,0.19
741,need,451,4,100,4.51
742,using,191,5,100,1.91
743,said,1163,4,100,11.63
744,becoming,109,8,100,1.09
745,seamless,21,8,100,0.21
746,free,141,4,100,1.41
747,over,936,4,100,9.36
748,reliably,7,8,100,0.07
749,search,64,6,100,0.64
750,peruvian,14,8,100,0.14
751,virgin,9,6,100,0.09
752,deep,168,4,100,1.68
753,isolated,19,8,100,0.19
754,ordinary,237,8,100,2.37
755,once,411,4,100,4.11
756,parent,7,6,100,0.07
757,image,225,5,100,2.25
758,effects,97,7,100,0.97
759,he,1921,2,100,19.21
760,tiled,2,5,100,0.02
761,further,164,7,100,1.64
762,ear,22,3,100,0.22
763,sociologist,8,11,100,0.08
764,modality,48,8,100,0.48
765,go,1082,2,100,10.82
766,transcendent,34,12,100,0.34
767,before,639,6,100,6.39
768,exhaustion,5,10,100,0.05
769,pursuing,23,8,100,0.23
770,horrible,26,8,100,0.26
771,seeking,46,7,100,0.46
772,de,91,2,100,0.91
773,trouble,41,7,100,0.41
774,slightly,105,8,100,1.05
775,arousal,54,7,100,0.54
776,electromagnetic,24,15,100,0.24
777,miraculous,15,10,100,0.15
778,domain,150,6,100,1.5
779,armageddon,3,10,100,0.03
780,do,2691,2,100,26.91
781,joining,1,7,100,0.01
782,postwar,1,7,100,0.01
783,france,23,6,100,0.23
784,deck,15,4,100,0.15
785,sexuality,72,9,100,0.72
786,evening,116,7,100,1.16
787,man,476,3,100,4.76
788,thorough,6,8,100,0.06
789,satisfyingly,2,12,100,0.02
790,may,801,3,100,8.01
791,beat,17,4,100,0.17
792,elicit,6,6,100,0.06
793,violence,30,8,100,0.3
794,needs,75,5,100,0.75
795,wearing,15,7,100,0.15
796,living,296,6,100,2.96
797,yes,542,3,100,5.42
798,wilderness,24,10,100,0.24
799,forever,54,7,100,0.54
800,background,45,10,100,0.45
801,civilization,256,12,100,2.56
802,nothing,450,7,100,4.5
803,ago,412,3,100,4.12
804,banks,11,5,100,0.11
805,expression,105,10,100,1.05
806,body,502,4,100,5.02
807,communicating,24,13,100,0.24
808,stone,123,5,100,1.23
809,aware,125,5,100,1.25
810,enough,394,6,100,3.94
811,same,572,4,100,5.72
812,taste,29,5,100,0.29
813,completion,48,10,100,0.48
814,close,200,5,100,2.0
815,distortion,12,10,100,0.12
816,affairs,19,7,100,0.19
817,deal,217,4,100,2.17
818,reaching,38,8,100,0.38
819,any,982,3,100,9.82
820,opinion,57,7,100,0.57
821,respectable,13,11,100,0.13
822,consequence,34,11,100,0.34
823,light,405,5,100,4.05
824,proved,9,6,100,0.09
825,forced,41,6,100,0.41
826,think,3208,5,100,32.08
827,leary,37,5,100,0.37
828,seeing,137,6,100,1.37
829,german,27,6,100,0.27
830,learn,129,5,100,1.29
831,grave,42,5,100,0.42
832,sanction,3,8,100,0.03
833,played,54,6,100,0.54
834,better,205,6,100,2.05
835,example,220,7,100,2.2
836,weaponry,3,8,100,0.03
837,thing,1935,5,100,19.35
838,collect,15,7,100,0.15
839,remember,189,8,100,1.89
840,plastered,1,9,100,0.01
841,saying,454,6,100,4.54
842,edged,13,5,100,0.13
843,clothing,17,8,100,0.17
844,department,16,10,100,0.16
845,set,360,3,100,3.6
846,today,157,5,100,1.57
847,throw,47,5,100,0.47
848,area,166,4,100,1.66
849,hands,117,5,100,1.17
850,instantaneous,10,13,100,0.1
851,positivist,9,10,100,0.09
852,men,150,3,100,1.5
853,trip,190,4,100,1.9
854,positivism,10,10,100,0.1
855,stamp,10,5,100,0.1
856,communication,163,13,100,1.63
857,capable,49,7,100,0.49
858,stand,143,5,100,1.43
859,color,59,5,100,0.59
860,intentionality,23,14,100,0.23
861,off,534,3,100,5.34
862,assumption,57,10,100,0.57
863,ad,29,2,100,0.29
864,aa,5,2,100,0.05
865,manner,21,6,100,0.21
866,psychoactive,125,12,100,1.25
867,laying,15,6,100,0.15
868,nobody,223,6,100,2.23
869,fell,48,4,100,0.48
870,paragraph,9,9,100,0.09
871,no,1980,2,100,19.8
872,concern,56,7,100,0.56
873,street,37,6,100,0.37
874,bizarre,92,7,100,0.92
875,sympathetic,13,11,100,0.13
876,french,41,6,100,0.41
877,cure,36,4,100,0.36
878,whim,2,4,100,0.02
879,terence,508,7,100,5.08
880,break,162,5,100,1.62
881,operation,9,9,100,0.09
882,abuse,28,5,100,0.28
883,correct,70,7,100,0.7
884,ecstatic,40,8,100,0.4
885,cradle,30,6,100,0.3
886,ok,97,2,100,0.97
887,worth,98,5,100,0.98
888,fully,74,5,100,0.74
889,commercial,8,10,100,0.08
890,wonderful,195,9,100,1.95
891,aspirin,4,7,100,0.04
892,heart,106,5,100,1.06
893,maybe,311,5,100,3.11
894,done,442,4,100,4.42
895,measured,19,8,100,0.19
896,happiness,22,9,100,0.22
897,reality,576,7,100,5.76
898,pursuit,23,7,100,0.23
899,intensely,15,9,100,0.15
900,prostitution,3,12,100,0.03
901,sitting,91,7,100,0.91
902,earlier,101,7,100,1.01
